catalog	artist	title	release_date	image URL	url	series	format	tags	description	new
DF074	ksd6700 x GRINGO	JAMMIN' CRASH	2025-10-01		https://ksd6700.bandcamp.com/album/jammin-crash	datafruits	Digital Album	acidhouse, techno, synthwave	High-impact arcade house for late-night fruit transmission.	true
DF073	ksd6700 x GRINGO	Rickshaw's Drift Phonk	2025-08-01		https://ksd6700.bandcamp.com/album/rickshaws-drift-phonk	datafruits	Digital Album	acidhouse, electronic, synthwave	Two-track drift pressure from ksd6700 and GRINGO.	false
DF072	VA	Data Gourmet Guide	2025-05-02		https://datafruits.bandcamp.com/album/data-gourmet-guide	datafruits	Compilation	electronic, compilation, food	An open-table compilation from the DATAFRUITS kitchen.	false
DF071	jacksonfromonline	softdrive	2025-03-14		https://jacksonfromonline.bandcamp.com/album/softdrive	datafruits	Digital Album	online, pop, electronic	Soft-focus network pop with a bright browser aftertaste.	false
DF070	Kamyar Ring	Purple Sky	2025-01-24		https://kamyar.bandcamp.com/album/purple-sky	datafruits	Single	electronic, techno, sky	A compact transmission from the violet edge of the label.	false
DF069	VA	HACK THE PLANET Vol. 3	2024-12-20		https://datafruits.bandcamp.com/album/hack-the-planet-vol-3-2	datafruits	Compilation	cyber, compilation, rave	The third packet in the HACK THE PLANET series.	false
DF068	ksd6700	Beat the Drum(Filthy Funky B)	2024-11-11		https://ksd6700.bandcamp.com/album/beat-the-drum-filthy-funky-b	datafruits	Digital Album	acidhouse, techno, chiba	Funky drum tools with extra pressure on the bounce.	false
DF067	wificellphonekidz	ULTIMATE DRIVING MIX	2024-07-05		https://datafruits.bandcamp.com/album/ultimate-driving-mix	datafruits	Mix	driving, electronic, club	Window-down tracks for digital road weather.	false
DF066	ksd6700	Gaming Squid Missile	2024-03-01		https://ksd6700.bandcamp.com/album/gaming-squid-missile	datafruits	Digital Album	acidhouse, techno, game	Controller-ready acid action from ksd6700.	false
DF065	firedrill	free drull, free life	2023-11-03		https://datafruits.bandcamp.com/album/free-drull-free-life	datafruits	EP	electronic, experimental, firedrill	Firedrill signals from the free-life zone.	false
DF064	VA	HACK THE PLANET 2	2023-08-18		https://datafruits.bandcamp.com/album/hack-the-planet-2	datafruits	Compilation	cyber, compilation, rave	A second compilation blast from the planetary mainframe.	false
DV002	cyber grandpa vs dj goodbye	cyber grandpa vs dj goodbye	2025-10-01		https://datafruits.bandcamp.com/album/cyber-grandpa-vs-dj-goodbye	data vegetables	Digital Album	vegetables, cyber, club	A datavegetables side quest with new-season crunch.	true
DV001	VA	datavegetables 01	2024-04-19		https://datavegetables.club/vol01	data vegetables	Compilation	vegetables, compilation, internet	The first harvest from the datavegetables patch.	false
